Date,Open,High,Low,Close,Adj Close,Volume
2020-01-20,1838.000000,1862.250000,1833.599976,1848.750000,1841.352173,1091453
2020-01-21,1839.949951,1842.550049,1793.849976,1810.750000,1803.504150,2101561
2020-01-22,1815.000000,1818.699951,1766.849976,1779.250000,1772.130249,3415306
2020-01-23,1779.000000,1789.000000,1757.099976,1776.099976,1768.992798,1885275
2020-01-24,1783.650024,1799.900024,1780.250000,1786.800049,1779.650024,1195596
2020-01-27,1787.000000,1805.750000,1780.000000,1788.349976,1781.193848,969054
2020-01-28,1794.000000,1794.000000,1773.000000,1779.099976,1771.980835,873291
2020-01-29,1787.000000,1803.849976,1781.000000,1796.949951,1789.759399,873805
2020-01-30,1800.000000,1808.900024,1786.000000,1805.000000,1797.777222,1005975
2020-01-31,1810.000000,1824.000000,1788.699951,1795.650024,1788.464600,1169614
2020-02-03,1768.800049,1872.900024,1765.000000,1867.650024,1860.176514,2854532
2020-02-04,1870.000000,1896.750000,1855.050049,1891.300049,1883.731934,1830049
2020-02-05,1889.000000,1890.000000,1866.150024,1873.500000,1866.003052,1344016
2020-02-06,1878.000000,1882.400024,1845.000000,1856.800049,1849.369995,995386
2020-02-07,1856.800049,1876.500000,1850.599976,1858.699951,1851.262207,632858
2020-02-10,1867.000000,1872.750000,1837.199951,1869.500000,1862.019043,747711
2020-02-11,1880.000000,1894.500000,1872.750000,1878.099976,1870.584595,1093021
2020-02-12,1880.000000,1916.699951,1878.199951,1893.699951,1886.122192,1616826
2020-02-13,1889.000000,1901.949951,1868.050049,1874.050049,1866.550903,638878
2020-02-14,1876.500000,1899.650024,1870.000000,1877.050049,1869.538940,771464
2020-02-17,1879.900024,1893.500000,1870.599976,1881.400024,1873.871460,676579
2020-02-18,1879.900024,1879.900024,1861.000000,1863.650024,1856.192505,683421
2020-02-19,1870.099976,1892.750000,1851.349976,1884.900024,1877.357544,723351
2020-02-20,1883.000000,1886.000000,1839.050049,1842.250000,1834.878174,1401879
2020-02-24,1845.250000,1853.000000,1814.000000,1818.949951,1811.671265,1310832
2020-02-25,1838.400024,1843.550049,1820.199951,1826.099976,1818.792725,897257
2020-02-26,1826.000000,1845.000000,1820.000000,1826.650024,1819.340576,1909619
2020-02-27,1829.849976,1852.000000,1810.449951,1843.800049,1836.421997,1643273
2020-02-28,1820.000000,1842.099976,1783.150024,1797.949951,1790.755371,2964119
2020-03-02,1815.099976,1837.449951,1769.250000,1786.800049,1779.650024,1219296
2020-03-03,1780.050049,1818.000000,1767.000000,1800.550049,1800.550049,1392463
2020-03-04,1804.050049,1857.449951,1804.050049,1847.949951,1847.949951,3050469
2020-03-05,1854.000000,1882.000000,1852.099976,1874.449951,1874.449951,2062439
2020-03-06,1840.000000,1884.400024,1835.000000,1877.449951,1877.449951,1393659
2020-03-09,1888.000000,1915.900024,1848.000000,1867.150024,1867.150024,3420741
2020-03-11,1874.949951,1905.000000,1851.500000,1882.849976,1882.849976,3194186
2020-03-12,1864.949951,1874.800049,1815.000000,1843.349976,1843.349976,6254349
2020-03-13,1785.000000,1843.750000,1669.849976,1797.699951,1797.699951,3878300
2020-03-16,1777.000000,1777.000000,1678.150024,1683.400024,1683.400024,2867336
2020-03-17,1699.000000,1779.800049,1670.000000,1731.599976,1731.599976,2643189
2020-03-18,1732.000000,1758.550049,1608.000000,1618.199951,1618.199951,3676437
2020-03-19,1540.000000,1653.949951,1431.199951,1601.199951,1601.199951,4906644
2020-03-20,1610.000000,1757.400024,1570.550049,1742.949951,1742.949951,3128629
2020-03-23,1578.599976,1650.000000,1490.750000,1498.449951,1498.449951,2155326
2020-03-24,1556.550049,1598.000000,1453.250000,1524.849976,1524.849976,3910566
2020-03-25,1446.550049,1605.349976,1446.000000,1593.150024,1593.150024,2196415
2020-03-26,1605.000000,1635.000000,1574.000000,1615.099976,1615.099976,736069
